"wife_age","wife_edu","husband_edu","children","wife_religion","wife_working","husband_job","sli","media","contra_method"
26,"d","d",2,"b","b","d","c","a","b"
24,"e","e",1,"b","b","d","e","a","b"
22,"d","e",1,"b","b","e","e","a","b"
33,"c","d",5,"b","a","c","b","a","b"
45,"d","d",7,"b","b","d","e","a","b"
29,"e","e",2,"b","a","b","d","a","b"
47,"c","c",7,"b","b","c","e","a","b"
36,"d","c",6,"b","b","d","c","a","b"
45,"d","d",8,"b","b","c","d","a","b"
47,"e","e",6,"b","a","b","e","a","b"
43,"d","e",2,"b","a","c","e","a","b"
44,"e","e",7,"b","b","d","c","a","b"
24,"c","e",2,"b","b","d","d","a","b"
28,"e","e",2,"b","a","b","d","a","b"
34,"e","e",5,"b","b","d","e","a","b"
31,"d","e",4,"b","b","b","d","a","b"
27,"e","e",3,"b","b","b","e","a","b"
27,"d","d",1,"b","a","d","e","a","b"
26,"e","e",1,"b","a","b","d","a","b"
36,"d","e",7,"b","b","c","c","a","b"
35,"e","e",4,"a","b","d","d","a","b"
38,"e","e",6,"b","b","d","d","a","b"
44,"e","e",7,"b","b","c","e","a","b"
25,"e","e",1,"b","b","b","e","a","b"
25,"e","e",2,"a","b","b","d","a","b"
41,"e","e",4,"b","b","b","e","a","b"
41,"d","e",5,"b","b","b","d","a","b"
24,"e","e",1,"b","a","b","e","a","b"
33,"e","e",3,"b","b","d","d","a","b"
29,"e","e",3,"b","a","d","d","a","b"
47,"e","e",4,"b","a","b","e","a","b"
28,"e","e",4,"b","b","b","d","a","b"
21,"c","c",1,"b","b","d","c","a","b"
32,"d","d",6,"b","a","d","d","a","b"
30,"d","e",2,"b","b","b","e","a","b"
37,"e","e",5,"b","b","d","e","a","b"
29,"e","d",4,"b","a","d","c","a","b"
38,"e","e",3,"b","a","b","e","a","b"
49,"d","d",11,"b","b","b","e","a","b"
41,"d","d",5,"b","b","b","e","a","b"
43,"d","e",5,"b","b","d","c","b","b"
47,"b","b",10,"b","b","d","d","a","b"
22,"e","e",1,"b","b","b","d","a","b"
27,"e","e",1,"a","a","b","e","a","b"
34,"d","e",2,"a","b","c","d","a","b"
42,"d","d",4,"b","b","c","e","a","b"
39,"e","e",3,"a","a","b","e","a","b"
36,"e","e",3,"a","b","c","e","a","b"
21,"e","e",1,"b","b","c","b","a","b"
36,"d","e",4,"a","a","c","e","a","b"
25,"c","d",1,"b","a","e","e","a","b"
41,"e","e",4,"a","a","c","e","a","b"
32,"e","e",4,"a","a","c","e","a","b"
41,"e","e",4,"a","a","c","e","a","b"
43,"e","e",3,"a","b","b","e","a","b"
35,"e","e",3,"b","b","c","d","a","b"
24,"e","e",2,"b","a","b","d","a","b"
43,"e","e",6,"b","b","b","e","a","b"
48,"e","e",7,"a","b","b","e","a","b"
28,"e","e",2,"b","b","b","d","a","b"
24,"e","e",1,"b","b","b","e","a","b"
42,"e","e",3,"b","a","b","e","a","b"
39,"e","e",3,"b","b","b","e","a","b"
24,"e","e",1,"b","b","b","e","a","b"
33,"e","d",5,"b","b","c","e","a","b"
29,"e","e",2,"b","b","d","e","a","b"
44,"e","e",5,"b","b","b","e","a","b"
17,"e","e",1,"b","b","c","e","a","b"
35,"d","e",3,"b","b","c","c","a","b"
32,"d","e",5,"b","b","b","c","a","b"
27,"e","e",2,"b","a","b","d","a","b"
44,"e","e",4,"b","b","b","e","a","b"
42,"e","e",5,"b","b","b","e","a","b"
40,"e","e",6,"b","b","b","d","a","b"
44,"e","e",3,"b","b","b","e","a","b"
33,"e","e",5,"b","b","c","e","a","b"
35,"c","e",3,"a","a","d","e","b","b"
31,"e","c",2,"a","b","b","d","a","b"
37,"e","e",3,"a","b","d","e","a","b"
45,"e","e",3,"a","b","c","e","a","b"
26,"e","e",2,"a","b","b","e","a","b"
