"hair","feathers","eggs","milk","airborne","aquatic","predator","toothed","backbone","breathes","venomous","fins","legs","tail","domestic","catsize","type"
"a","a","b","a","a","b","b","b","b","a","a","b",0,"b","a","b","d"
"a","a","b","a","a","b","b","b","b","a","a","b",0,"b","a","a","d"
"a","a","b","a","a","a","b","b","b","b","b","a",0,"b","a","a","c"
"b","a","b","b","a","b","b","a","b","b","a","a",4,"b","a","b","a"
"b","a","a","b","a","a","b","b","b","b","a","a",4,"b","a","b","a"
"b","a","a","b","a","a","a","b","b","b","a","a",4,"b","b","b","a"
"a","a","a","b","a","b","b","b","b","b","a","b",0,"b","a","b","a"
"b","a","a","b","a","a","b","b","b","b","a","a",4,"b","a","b","a"
"b","a","a","b","a","a","b","b","b","b","a","a",4,"b","b","b","a"
"b","a","a","b","a","a","b","b","b","b","a","a",4,"b","a","b","a"
"b","a","a","b","a","a","a","b","b","b","a","a",4,"b","b","b","a"
"a","b","b","a","a","a","b","a","b","b","a","a",2,"b","a","b","b"
"a","a","a","a","a","a","b","a","a","b","b","a",8,"b","a","a","g"
"a","a","b","a","a","b","a","b","b","a","a","b",0,"b","a","a","d"
"b","a","a","b","a","b","b","b","b","b","a","b",0,"a","a","b","a"
"b","a","a","b","a","b","b","b","b","b","a","b",2,"b","a","b","a"
"a","a","a","a","a","b","b","b","b","a","b","a",0,"b","a","a","c"
"a","a","b","a","a","b","b","a","a","a","b","a",0,"a","a","a","g"
"a","b","b","a","b","b","b","a","b","b","a","a",2,"b","a","a","b"
"a","b","b","a","b","b","b","a","b","b","a","a",2,"b","a","a","b"
"a","a","b","a","a","a","b","b","b","b","a","a",0,"b","a","a","c"
"a","a","b","a","a","a","a","a","a","b","a","a",0,"a","a","a","g"
"a","a","b","a","a","b","a","b","b","a","a","b",0,"b","a","a","d"
"a","b","b","a","b","a","a","a","b","b","a","a",2,"b","a","a","b"
"b","a","a","b","a","a","a","b","b","b","a","a",2,"b","a","a","a"
"a","a","b","a","a","b","b","a","a","a","a","a",5,"a","a","a","g"
"a","a","b","a","a","b","b","b","b","a","b","b",0,"b","a","b","d"
"a","b","b","a","b","b","a","a","b","b","a","a",2,"b","a","b","b"
"a","a","b","a","a","a","a","a","a","b","a","a",6,"a","a","a","f"
"a","a","b","a","a","b","a","b","b","b","a","a",4,"a","a","a","e"
"a","a","b","a","a","a","a","a","b","b","a","a",4,"b","a","b","c"
"a","a","b","a","a","a","b","b","b","b","a","a",4,"b","a","a","c"
"a","a","b","a","a","b","b","b","b","a","a","b",0,"b","a","b","d"
"b","a","a","b","b","a","a","b","b","b","a","a",2,"b","a","a","a"
"b","a","a","b","a","a","a","b","b","b","a","a",4,"b","a","a","a"
"a","b","b","a","b","a","b","a","b","b","a","a",2,"b","a","b","b"
"b","a","a","b","a","a","a","b","b","b","a","a",2,"b","a","b","a"
"b","a","b","a","b","a","a","a","a","b","b","a",6,"a","a","a","f"
"b","a","a","b","a","a","b","b","b","b","a","a",4,"b","a","b","a"
"a","a","b","a","a","a","a","a","a","b","a","a",0,"a","a","a","g"
"a","b","b","a","b","a","a","a","b","b","a","a",2,"b","a","a","b"
